,newold,stock,sleeps,length,price,location,horsepower
777,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
778,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
779,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
780,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
781,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
782,New,Stock # 2024144,5,25 ft 8 in,154057.0,"Vacaville, CA",
783,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
784,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
785,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
786,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
787,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
788,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
789,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
790,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
791,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
792,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
793,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
794,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
795,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
796,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
797,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
798,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
799,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
800,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
801,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
802,New,Stock # 2024144,5,25 ft 8 in,154057.0,"Vacaville, CA",
803,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
804,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
805,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
806,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
807,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
808,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
